,2015,,,,,,,,,,,2016,,,,,,,,,,,2017,,,,,,,,,,,2018,,,,,,,,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankit Sharma,4,1,7,7,7,6,0,0,1,1,1,3,1,3,3,0,3,0,0,0,0,1,1,0,25,25,25,15,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankit Soni,,,,,,,,,,,,,,,,,,,,,,,7,1,7,7,3.5,9,0,0,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anureet Singh,14,3,18,10,6,31,0,0,2,1,0,,,,,,,,,,,,1,0,15,15,15,12,0,0,0,2,0,3,1,3,3,0,4,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP Tare,2,0,14,7,7,17,0,0,0,1,0,3,0,8,8,4,15,0,0,1,1,0,3,0,18,18,6,23,0,0,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR Bawne,,,,,,,,,,,,,,,,,,,,,,,1,1,12,12,0,12,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR Patel,14,3,206,40,22.88,174,0,0,1,21,1,14,3,111,36,15.85,77,0,0,2,12,1,14,5,227,44,28.37,162,0,0,1,22,0,9,2,80,19,13.33,69,0,0,0,7,0,14,6,110,26,18.33,88,0,0,1,13,0,,,,,,,,,,,,,,,,,,,,,
AS Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,15,15,0,13,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,
AS Rajpoot,,,,,,,,,,,,,,,,,,,,,,,5,0,4,4,4,7,0,0,0,1,0,8,0,11,8,3.66,18,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT Rayudu,15,5,281,53,31.22,193,0,1,2,34,1,13,1,334,65,30.36,278,0,2,1,40,0,5,0,91,63,18.2,78,0,1,1,10,0,16,2,602,100,43,402,1,3,1,87,1,17,5,282,57,23.5,303,0,1,2,27,0,,,,,,,,,,,,,,,,,,,,,
Avesh Khan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,4,0,3,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,
Azhar Mahmood,1,0,6,6,6,7,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B Kumar,14,2,17,11,17,10,0,0,1,3,1,17,2,43,21,7.16,27,0,0,0,7,0,14,1,4,4,4,4,0,0,1,0,1,12,2,13,7,6.5,16,0,0,1,1,0,15,2,12,7,4,19,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,
B Laughlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,1,1,1,4,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B Stanlake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,5,5,0,2,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA Stokes,,,,,,,,,,,,,,,,,,,,,,,12,1,316,103,31.6,221,1,1,0,37,1,13,1,196,45,16.33,161,0,0,1,19,0,9,3,123,46,20.5,99,0,0,1,12,0,,,,,,,,,,,,,,,,,,,,,
Basil Thampi,,,,,,,,,,,,,,,,,,,,,,,12,5,28,13,0,28,0,0,0,2,1,4,1,3,3,3,6,0,0,0,0,0,3,1,1,1,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,
BB McCullum,14,1,436,100,33.53,280,1,2,0,74,1,16,0,354,60,22.12,262,0,1,1,54,0,11,0,319,72,29,217,0,2,0,47,0,6,0,127,43,21.16,88,0,0,1,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BB Sran,,,,,,,,,,,,14,4,4,2,0,4,0,0,0,0,1,,,,,,,,,,,,6,3,3,2,3,7,0,0,0,0,0,2,1,3,3,0,3,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,
BCJ Cutting,,,,,,,,,,,,4,2,65,39,32.5,34,0,0,1,10,1,4,1,51,20,25.5,26,0,0,0,8,0,9,2,96,37,24,58,0,0,0,13,0,3,1,18,13,9,17,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,
BE Hendricks,4,2,1,1,0,2,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bipul Sharma,4,0,1,1,1,2,0,0,0,0,0,7,2,51,27,25.5,25,0,0,0,6,1,7,2,31,21,31,24,0,0,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C de Grandhomme,,,,,,,,,,,,,,,,,,,,,,,12,1,126,36,15.75,92,0,0,3,16,0,9,3,131,40,26.2,84,0,0,0,14,0,4,1,46,37,15.33,49,0,0,0,6,0,,,,,,,,,,,,,,,,,,,,,
C Munro,,,,,,,,,,,,4,0,30,16,10,30,0,0,0,3,0,,,,,,,,,,,,5,0,63,33,12.6,41,0,0,2,11,0,4,0,84,40,21,70,0,0,0,13,0,,,,,,,,,,,,,,,,,,,,,
CA Ingram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,184,47,18.4,154,0,0,0,25,0,,,,,,,,,,,,,,,,,,,,,
CA Lynn,,,,,,,,,,,,2,1,25,15,25,22,0,0,0,1,0,7,1,295,93,49.16,163,0,3,0,44,1,16,1,491,74,32.73,377,0,3,1,74,0,13,0,405,82,31.15,290,0,4,2,63,0,,,,,,,,,,,,,,,,,,,,,
CH Gayle,14,2,491,117,40.91,333,1,2,0,77,0,10,0,227,76,22.7,150,0,2,1,38,0,9,0,200,77,22.22,163,0,1,2,29,0,11,2,368,104,40.88,252,1,3,1,57,1,13,1,490,99,40.83,319,0,4,0,79,1,,,,,,,,,,,,,,,,,,,,,
CH Morris,11,5,76,34,38,46,0,0,1,8,1,12,4,195,82,65,109,0,1,1,27,1,9,4,154,52,30.8,94,0,1,0,21,1,4,3,46,27,46,26,0,0,0,5,1,9,0,32,17,5.33,37,0,0,3,3,0,,,,,,,,,,,,,,,,,,,,,
CJ Anderson,4,1,114,55,38,97,0,2,0,17,1,,,,,,,,,,,,11,4,142,41,20.28,123,0,0,1,17,1,3,0,17,15,5.66,22,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CJ Jordan,,,,,,,,,,,,9,0,3,3,3,4,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM Gautam,1,0,4,4,4,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR Brathwaite,,,,,,,,,,,,8,0,83,34,13.83,38,0,0,0,14,0,2,0,12,11,6,15,0,0,0,2,0,4,1,75,43,25,48,0,0,0,9,1,2,0,11,6,5.5,10,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,
CR Woakes,,,,,,,,,,,,,,,,,,,,,,,13,3,46,18,11.5,47,0,0,0,5,0,5,2,17,11,8.5,19,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D Wiese,14,3,122,47,30.5,86,0,0,0,16,1,1,1,5,5,0,4,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DA Miller,13,2,357,89,32.45,266,0,2,0,42,1,14,3,161,31,16.1,131,0,0,1,15,0,5,1,83,30,27.66,80,0,0,0,8,1,3,1,74,26,37,64,0,0,0,5,0,10,2,213,59,26.62,164,0,1,0,26,1,,,,,,,,,,,,,,,,,,,,,
DA Warner,14,1,562,91,43.23,359,0,7,0,86,0,17,3,848,93,60.57,560,0,9,1,119,1,14,3,641,126,58.27,452,1,4,0,89,0,,,,,,,,,,,,12,2,692,100,69.2,481,1,8,0,78,1,,,,,,,,,,,,,,,,,,,,,
DJ Bravo,17,5,195,62,21.66,148,0,1,1,27,1,15,5,99,22,12.37,82,0,0,1,12,1,,,,,,,,,,,,16,6,141,68,35.25,91,0,1,1,18,0,12,4,80,27,16,66,0,0,0,9,0,,,,,,,,,,,,,,,,,,,,,
DJ Hooda,14,0,151,54,16.77,95,0,1,0,17,0,17,1,144,34,10.28,121,0,0,0,14,0,10,3,78,19,26,52,0,0,0,9,1,9,4,87,32,21.75,81,0,0,0,5,1,11,1,64,20,10.66,63,0,0,1,6,0,,,,,,,,,,,,,,,,,,,,,
DJ Muthuswami,6,1,1,1,1,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJG Sammy,2,0,13,7,6.5,18,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJM Short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,115,44,16.42,99,0,0,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL Chahar,,,,,,,,,,,,,,,,,,,,,,,3,0,14,14,14,6,0,0,0,2,0,12,1,50,39,16.66,29,0,0,1,5,0,17,0,7,7,3.5,9,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,
DM Bravo,,,,,,,,,,,,,,,,,,,,,,,1,1,6,6,0,5,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DR Shorey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,8,8,8,9,0,0,0,1,0,1,0,5,5,5,8,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
DR Smith,16,0,399,62,24.93,335,0,2,3,68,0,12,1,324,73,29.45,221,0,3,1,51,0,12,1,239,74,21.72,156,0,2,2,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS Kulkarni,11,0,4,3,2,11,0,0,0,0,0,14,3,27,10,13.5,16,0,0,0,3,0,6,0,1,1,1,2,0,0,0,0,0,8,1,6,3,6,7,0,0,0,0,1,10,1,5,5,0,3,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,
DT Christian,,,,,,,,,,,,,,,,,,,,,,,13,4,79,17,15.8,49,0,0,0,10,1,4,1,26,13,13,33,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DW Steyn,6,2,20,19,20,13,0,0,1,3,1,1,0,1,1,1,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,
E Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,382,65,29.38,276,0,2,2,56,0,3,0,48,32,16,52,0,0,0,6,0,,,,,,,,,,,,,,,,,,,,,
EJG Morgan,9,1,187,63,23.37,151,0,1,0,22,0,7,1,123,51,24.6,105,0,1,1,12,0,4,0,65,26,16.25,62,0,0,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER Dwivedi,,,,,,,,,,,,4,0,24,19,12,14,0,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F Behardien,,,,,,,,,,,,3,1,14,9,7,13,0,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F du Plessis,17,2,380,55,29.23,304,0,1,0,42,0,6,0,206,69,34.33,162,0,2,0,26,0,2,0,8,8,8,7,0,0,0,1,0,6,1,162,67,32.4,129,0,1,0,23,1,12,1,396,96,36,321,0,3,0,51,0,,,,,,,,,,,,,,,,,,,,,
G Gambhir,13,0,327,60,25.15,278,0,3,1,45,0,15,2,501,90,38.53,411,0,5,1,60,1,16,4,498,76,41.5,389,0,4,0,69,1,6,0,85,55,17,88,0,1,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB Hogg,6,1,7,5,7,6,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC Viljoen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,3,2,1.5,7,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,
GH Vihari,5,0,39,16,9.75,35,0,0,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,4,2,2,8,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
GJ Bailey,13,2,259,61,23.54,190,0,2,0,29,1,6,1,84,34,21,98,0,0,1,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ Maxwell,11,0,145,43,13.18,112,0,0,0,21,0,11,2,179,68,19.88,124,0,2,3,22,0,14,3,310,47,31,179,0,0,3,45,0,12,0,169,47,14.08,120,0,0,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurkeerat Singh,5,0,35,15,7,39,0,0,0,4,0,7,1,113,51,22.6,86,0,1,1,14,0,,,,,,,,,,,,,,,,,,,,,,,3,0,98,65,32.66,70,0,1,0,13,0,,,,,,,,,,,,,,,,,,,,,
H Klaasen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,57,32,19,47,0,0,1,6,0,3,0,9,6,4.5,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Harbhajan Singh,15,3,117,64,16.71,73,0,1,2,18,0,14,4,92,45,30.66,84,0,0,1,13,1,11,5,16,7,8,16,0,0,1,1,1,13,0,29,19,9.66,36,0,0,0,4,0,11,0,1,1,1,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Harpreet Brar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,20,20,0,12,0,0,0,3,1,,,,,,,,,,,,,,,,,,,,,
HF Gurney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,1,1,0,5,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,
HH Pandya,9,3,112,61,22.4,62,0,1,2,17,1,11,2,44,9,6.28,63,0,0,0,4,0,17,9,250,35,35.71,160,0,0,0,31,1,13,4,260,50,28.88,195,0,1,0,31,0,16,6,402,91,44.66,210,0,1,1,57,0,,,,,,,,,,,,,,,,,,,,,
HM Amla,,,,,,,,,,,,6,0,157,96,26.16,119,0,1,1,24,0,10,3,420,104,60,288,2,2,1,57,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HV Patel,15,2,19,9,3.8,12,0,0,2,2,1,5,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,5,1,60,36,60,33,0,0,0,7,1,2,1,0,0,0,2,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,
I Sharma,,,,,,,,,,,,4,1,0,0,0,0,0,0,0,0,1,6,1,8,5,4,12,0,0,0,1,1,,,,,,,,,,,,13,3,10,10,0,3,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,
IK Pathan,,,,,,,,,,,,4,0,11,7,3.66,13,0,0,0,0,0,1,0,2,2,2,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imran Tahir,10,1,5,3,5,6,0,0,0,0,1,4,0,5,5,5,7,0,0,0,1,0,12,1,0,0,0,2,0,0,0,0,1,6,1,2,2,0,2,0,0,0,0,1,17,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,
Iqbal Abdulla,5,0,20,20,10,18,0,0,1,4,0,8,2,37,33,0,27,0,0,0,5,1,2,1,5,5,0,7,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR Jaggi,,,,,,,,,,,,,,,,,,,,,,,2,1,33,28,33,39,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS Sodhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,1,1,1,6,0,0,0,0,0,2,0,6,6,6,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Ishan Kishan,,,,,,,,,,,,5,0,42,27,8.4,41,0,0,1,5,0,11,0,277,61,27.7,206,0,1,0,42,0,14,0,275,62,22.91,184,0,2,3,39,0,7,0,101,28,16.83,100,0,0,0,12,0,,,,,,,,,,,,,,,,,,,,,
J Botha,4,0,31,17,10.33,15,0,0,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J Suchith,13,5,48,34,48,32,0,0,0,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,6,6,6,15,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
J Theron,1,1,1,1,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J Yadav,,,,,,,,,,,,5,0,6,5,3,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JA Morkel,4,2,86,73,86,65,0,1,0,11,1,2,0,16,16,16,9,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JC Archer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,15,8,3,21,0,0,3,2,0,11,3,67,27,33.5,40,0,0,0,8,1,,,,,,,,,,,,,,,,,,,,,
JC Buttler,,,,,,,,,,,,14,3,255,41,23.18,184,0,0,1,34,0,10,0,272,77,27.2,177,0,1,0,42,0,13,3,548,95,54.8,353,0,5,0,73,1,8,0,311,89,38.87,205,0,3,0,52,0,,,,,,,,,,,,,,,,,,,,,
JD Unadkat,,,,,,,,,,,,,,,,,,,,,,,12,2,2,2,0,5,0,0,0,0,1,15,3,49,26,12.25,38,0,0,1,7,0,11,3,1,1,1,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
JJ Bumrah,4,1,0,0,0,0,0,0,0,0,1,14,1,8,6,8,11,0,0,0,1,0,16,1,16,16,16,12,0,0,1,1,1,14,2,10,6,10,11,0,0,1,1,1,16,2,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,
JJ Roy,,,,,,,,,,,,,,,,,,,,,,,3,1,59,31,29.5,40,0,0,0,10,0,5,1,120,91,30,94,0,1,0,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JL Denly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
JM Bairstow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2,445,114,55.62,283,1,2,1,66,0,,,,,,,,,,,,,,,,,,,,,
JO Holder,,,,,,,,,,,,4,0,22,13,5.5,19,0,0,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP Duminy,14,3,414,78,41.4,315,0,4,0,47,1,10,3,191,49,38.2,156,0,0,0,16,1,,,,,,,,,,,,6,3,36,23,36,40,0,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP Faulkner,13,3,144,46,18,109,0,0,0,17,0,7,2,77,32,25.66,59,0,0,0,7,0,8,2,54,21,13.5,57,0,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPR Scantlebury-Searles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,8,6,8,6,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K Gowtham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,4,126,33,14,64,0,0,1,18,1,7,1,18,9,6,19,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,
K Rabada,,,,,,,,,,,,,,,,,,,,,,,6,0,55,44,18.33,64,0,0,1,6,0,,,,,,,,,,,,12,1,14,9,4.66,15,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,
KA Pollard,16,3,419,70,38.09,256,0,2,0,56,0,13,4,207,51,25.87,144,0,1,0,27,1,17,3,385,70,29.61,276,0,3,0,48,0,9,1,133,50,19,100,0,1,1,17,0,16,6,279,83,34.87,178,0,1,0,36,0,,,,,,,,,,,,,,,,,,,,,
Karanveer Singh,4,2,11,5,11,16,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KC Cariappa,,,,,,,,,,,,5,1,13,12,13,11,0,0,0,1,1,4,0,2,1,1,7,0,0,0,0,0,,,,,,,,,,,,1,1,9,9,0,3,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,
KD Karthik,16,0,141,28,12.81,117,0,0,0,19,0,16,2,335,53,25.76,266,0,3,1,41,0,14,3,361,65,36.1,259,0,2,1,41,0,16,6,498,52,49.8,337,0,2,0,65,0,14,5,253,97,31.62,173,0,2,0,36,1,,,,,,,,,,,,,,,,,,,,,
KH Pandya,,,,,,,,,,,,12,3,237,86,39.5,124,0,1,0,35,0,13,4,243,47,34.71,179,0,0,0,31,0,14,3,228,41,22.8,157,0,0,0,32,1,16,4,183,42,16.63,150,0,0,1,23,0,,,,,,,,,,,,,,,,,,,,,
